Point Name,X,Y,Z,LAT
P2,12.0374,20.7012,174.288,1
P3,4.05048,23.6731,168.202,10
P4,-3.73439,25.3513,161.39,22
P5,-11.1408,26.0873,154.003,36
P6,11.46,24.4557,165.18,7
P7,0.0487174,27.2995,159.123,19
P8,-8.99909,28.2158,153.922,32
P9,-17.9645,27.6673,148.528,-158
P10,-26.4861,25.9982,142.658,-164
P11,34.2408,55.6169,172.337,-22
P12,23.06,48.6006,173.225,-6
P13,14.2002,43.1704,172.223,5
P14,6.0299,37.7335,168.721,15
P15,-1.2778,32.9737,162.987,19
P16,35.9644,59.0748,170.556,17
P17,25.1197,51.8544,172.79,10
P18,16.1729,46.4888,173.054,7
P19,7.66833,41.0343,170.579,16
P20,0.0348713,36.0118,165.542,23
P21,35.2602,57.2352,173.425,23
P22,24.5616,49.9939,176.247,10
P23,15.671,44.5788,176.806,3
P24,7.12471,39.1529,174.44,4
P25,-0.698653,34.3244,169.502,19
P26,35.1038,57.1544,164.7,-25
P27,30.4709,49.7703,174.553,-14
P28,25.429,42.4227,179.77,-6
P29,18.8688,34.6715,180.755,-10000
P30,11.7265,28.4424,176.931,-10000
P31,28.3424,58.2122,166.517,8
P32,27.8235,52.1285,178.133,-8
P33,25.5966,44.7927,184.99,-27
P34,21.4635,35.9104,187.812,-19
P35,16.123,27.4678,185.697,-17
P36,29.9443,56.6773,167.599,25
P37,29.7868,51.6327,179.721,9
P38,28.2055,44.6502,187.057,-8
P39,24.5702,35.6969,190.163,-12
P40,19.5391,27.0634,188.123,-12
P41,29.8318,53.5733,168.95,24
P42,29.6629,49.0217,181.255,8
P43,27.9941,42.3324,188.838,-9
P44,24.3765,33.4795,192.215,-13
P45,19.6488,24.651,190.295,-18
P46,28.0881,56.7285,167.886,24
P47,27.4449,52.4576,180.268,7
P48,25.94,45.7507,187.894,-8
P49,23.0534,36.685,191.546,-13
P50,19.0643,27.3702,190.238,-12
P51,28.5731,55.5969,168.376,23
P52,27.4257,51.6192,180.815,5
P53,25.5921,45.0021,188.428,-8
P54,22.7203,35.8808,191.951,-13
P55,19.169,26.3886,190.529,-13
P56,28.9631,54.9624,168.636,13
P57,28.1582,49.9096,180.697,6
P58,27.1237,42.6162,187.867,-10
P59,25.4303,33.044,191.017,-16
P60,23.1957,23.155,189.42,-18
P61,27.4877,53.4968,170.777,21
P62,25.799,48.7597,182.88,4
P63,24.09,41.5952,190.005,-11
P64,21.9529,32.0348,192.754,-17
P65,19.931,22.2871,190.397,-20
P66,26.7997,54.1495,170.471,23
P67,25.2213,49.4472,182.606,5
P68,23.7019,42.3339,189.833,-9
P69,21.7411,32.78,192.704,-15
P70,19.6396,23.0575,190.375,-19
P71,-15.4395,64.7942,166.495,29
P72,-6.03852,66.9841,175.249,18
P73,3.24321,66.0585,179.618,13
P74,12.0252,61.3649,181.324,5
P75,16.6682,52.5178,180.956,-1
P76,-14.2839,72.3333,156.107,-10000
P77,-7.97213,74.1369,167.228,42
P78,-2.3372,70.6481,174.927,29
P79,4.91727,64.3579,178.196,19
P80,12.4225,57.639,176.419,13
P81,-14.537,76.3686,156.52,-10000
